L	E	W	B	F	A
1	0.00001	1	1	1	1
0.00001	1	1	1	0.00001	0.00001
1	1	1	1	0.00001	1
0.00001	1	1	1	1	1
0.00001	0.00001	0.00001	1	1	1
1	0.00001	1	1	1	1

L	E	W	B	F	A
0.00001	0.00001	1	1	1	1
0.00001	1	1	1	0.00001	0.00001
1	1	1	1	0.00001	1
0.00001	1	1	1	1	1
0.00001	0.00001	0.00001	1	1	1
1	0.00001	1	0.00001	0.00001	0.00001

L	E	W	B	F	A
1	0.00001	1	1	1	1
0.00001	1	1	1	0.00001	0.00001
1	1	1	1	0.00001	0.00001
0.00001	1	1	1	1	1
0.00001	0.00001	0.00001	1	1	1
1	1	1	0.00001	0.00001	1

END
