Name,Type,Minimum,Maximum,Length,Direction
SLMs_Harttia,misc_feature,"46,904,220","46,904,288",69,forward
SLMs_Harttia,misc_feature,"46,859,253","46,859,289",37,reverse
SLMs_Harttia,misc_feature,"46,810,004","46,810,065",62,reverse
SLMs_Harttia,misc_feature,"46,201,426","46,201,494",69,forward
SLMs_Harttia,misc_feature,"46,201,368","46,201,429",62,reverse
SLMs_Harttia,misc_feature,"45,620,663","45,620,728",66,reverse
SLMs_Harttia,misc_feature,"45,506,403","45,506,464",62,reverse
SLMs_Harttia,misc_feature,"45,133,182","45,133,243",62,forward
SLMs_Harttia,misc_feature,"45,133,117","45,133,185",69,reverse
SLMs_Harttia,misc_feature,"45,100,824","45,100,885",62,reverse
SLMs_Harttia,misc_feature,"44,838,444","44,838,503",60,forward
SLMs_Harttia,misc_feature,"44,838,379","44,838,447",69,reverse
SLMs_Harttia,misc_feature,"44,679,982","44,680,050",69,forward
SLMs_Harttia,misc_feature,"44,679,924","44,679,985",62,reverse
SLMs_Harttia,misc_feature,"44,610,721","44,610,782",62,reverse
SLMs_Harttia,misc_feature,"44,388,260","44,388,321",62,forward
SLMs_Harttia,misc_feature,"44,388,195","44,388,263",69,reverse
SLMs_Harttia,misc_feature,"44,229,216","44,229,284",69,forward
SLMs_Harttia,misc_feature,"43,528,393","43,528,454",62,reverse
SLMs_Harttia,misc_feature,"43,419,876","43,419,937",62,forward
SLMs_Harttia,misc_feature,"43,419,811","43,419,879",69,reverse
SLMs_Harttia,misc_feature,"43,204,665","43,204,733",69,reverse
SLMs_Harttia,misc_feature,"43,180,363","43,180,431",69,reverse
SLMs_Harttia,misc_feature,"43,122,384","43,122,445",62,reverse
SLMs_Harttia,misc_feature,"43,080,155","43,080,223",69,forward
SLMs_Harttia,misc_feature,"43,078,306","43,078,368",63,forward
SLMs_Harttia,misc_feature,"43,078,241","43,078,309",69,reverse
SLMs_Harttia,misc_feature,"42,939,109","42,939,177",69,reverse
SLMs_Harttia,misc_feature,"42,900,388","42,900,453",66,forward
SLMs_Harttia,misc_feature,"42,900,323","42,900,391",69,reverse
SLMs_Harttia,misc_feature,"42,860,944","42,861,012",69,reverse
SLMs_Harttia,misc_feature,"42,573,473","42,573,541",69,forward
SLMs_Harttia,misc_feature,"42,571,129","42,571,197",69,forward
SLMs_Harttia,misc_feature,"42,571,071","42,571,132",62,reverse
SLMs_Harttia,misc_feature,"42,508,976","42,509,044",69,forward
SLMs_Harttia,misc_feature,"42,508,918","42,508,979",62,reverse
SLMs_Harttia,misc_feature,"42,409,740","42,409,801",62,forward
SLMs_Harttia,misc_feature,"42,409,675","42,409,743",69,reverse
SLMs_Harttia,misc_feature,"42,331,161","42,331,229",69,forward
SLMs_Harttia,misc_feature,"42,270,478","42,270,546",69,forward
SLMs_Harttia,misc_feature,"42,244,733","42,244,794",62,reverse
SLMs_Harttia,misc_feature,"42,200,721","42,200,782",62,forward
SLMs_Harttia,misc_feature,"42,118,062","42,118,130",69,reverse
SLMs_Harttia,misc_feature,"42,012,732","42,012,800",69,forward
SLMs_Harttia,misc_feature,"42,012,674","42,012,735",62,reverse
SLMs_Harttia,misc_feature,"41,986,302","41,986,363",62,reverse
SLMs_Harttia,misc_feature,"41,846,410","41,846,471",62,reverse
SLMs_Harttia,misc_feature,"41,683,312","41,683,373",62,forward
SLMs_Harttia,misc_feature,"41,560,094","41,560,155",62,forward
SLMs_Harttia,misc_feature,"41,560,029","41,560,097",69,reverse
SLMs_Harttia,misc_feature,"41,359,463","41,359,524",62,forward
SLMs_Harttia,misc_feature,"41,359,398","41,359,466",69,reverse
SLMs_Harttia,misc_feature,"41,309,203","41,309,271",69,forward
SLMs_Harttia,misc_feature,"41,309,145","41,309,206",62,reverse
SLMs_Harttia,misc_feature,"41,177,804","41,177,865",62,forward
SLMs_Harttia,misc_feature,"41,177,739","41,177,807",69,reverse
SLMs_Harttia,misc_feature,"40,982,531","40,982,599",69,forward
SLMs_Harttia,misc_feature,"40,982,473","40,982,534",62,reverse
SLMs_Harttia,misc_feature,"40,979,270","40,979,338",69,forward
SLMs_Harttia,misc_feature,"40,979,208","40,979,273",66,reverse
SLMs_Harttia,misc_feature,"40,978,694","40,978,759",66,reverse
SLMs_Harttia,misc_feature,"40,795,728","40,795,796",69,forward
SLMs_Harttia,misc_feature,"40,795,670","40,795,731",62,reverse
SLMs_Harttia,misc_feature,"40,671,836","40,671,897",62,forward
SLMs_Harttia,misc_feature,"40,671,771","40,671,839",69,reverse
SLMs_Harttia,misc_feature,"40,592,720","40,592,781",62,forward
SLMs_Harttia,misc_feature,"40,592,655","40,592,723",69,reverse
SLMs_Harttia,misc_feature,"40,521,638","40,521,706",69,reverse
SLMs_Harttia,misc_feature,"40,448,327","40,448,388",62,reverse
SLMs_Harttia,misc_feature,"40,421,224","40,421,285",62,forward
SLMs_Harttia,misc_feature,"40,421,159","40,421,227",69,reverse
SLMs_Harttia,misc_feature,"40,338,078","40,338,146",69,forward
SLMs_Harttia,misc_feature,"40,338,020","40,338,081",62,reverse
SLMs_Harttia,misc_feature,"40,171,035","40,171,096",62,forward
SLMs_Harttia,misc_feature,"39,911,970","39,912,037",68,forward
SLMs_Harttia,misc_feature,"39,818,816","39,818,884",69,forward
SLMs_Harttia,misc_feature,"39,368,753","39,368,814",62,reverse
SLMs_Harttia,misc_feature,"39,298,300","39,298,361",62,reverse
SLMs_Harttia,misc_feature,"38,879,020","38,879,081",62,forward
SLMs_Harttia,misc_feature,"38,806,331","38,806,392",62,reverse
SLMs_Harttia,misc_feature,"38,492,778","38,492,846",69,forward
SLMs_Harttia,misc_feature,"38,492,720","38,492,781",62,reverse
SLMs_Harttia,misc_feature,"38,348,141","38,348,203",63,reverse
SLMs_Harttia,misc_feature,"38,337,439","38,337,500",62,forward
SLMs_Harttia,misc_feature,"38,337,374","38,337,442",69,reverse
SLMs_Harttia,misc_feature,"38,269,653","38,269,720",68,forward
SLMs_Harttia,misc_feature,"38,137,258","38,137,319",62,reverse
SLMs_Harttia,misc_feature,"38,064,789","38,064,857",69,forward
SLMs_Harttia,misc_feature,"38,045,372","38,045,433",62,forward
SLMs_Harttia,misc_feature,"38,045,307","38,045,375",69,reverse
SLMs_Harttia,misc_feature,"38,008,436","38,008,504",69,forward
SLMs_Harttia,misc_feature,"38,008,378","38,008,439",62,reverse
SLMs_Harttia,misc_feature,"37,736,878","37,736,946",69,forward
SLMs_Harttia,misc_feature,"37,736,820","37,736,881",62,reverse
SLMs_Harttia,misc_feature,"37,645,167","37,645,228",62,reverse
SLMs_Harttia,misc_feature,"37,610,332","37,610,400",69,reverse
SLMs_Harttia,misc_feature,"37,583,252","37,583,313",62,forward
SLMs_Harttia,misc_feature,"37,583,187","37,583,255",69,reverse
SLMs_Harttia,misc_feature,"37,565,124","37,565,192",69,forward
SLMs_Harttia,misc_feature,"37,565,066","37,565,127",62,reverse
SLMs_Harttia,misc_feature,"37,523,412","37,523,473",62,reverse
SLMs_Harttia,misc_feature,"37,420,917","37,420,978",62,forward
SLMs_Harttia,misc_feature,"37,420,852","37,420,920",69,reverse
SLMs_Harttia,misc_feature,"37,419,031","37,419,092",62,forward
SLMs_Harttia,misc_feature,"37,418,966","37,419,034",69,reverse
SLMs_Harttia,misc_feature,"37,341,569","37,341,637",69,forward
SLMs_Harttia,misc_feature,"37,341,511","37,341,572",62,reverse
SLMs_Harttia,misc_feature,"37,213,888","37,213,956",69,forward
SLMs_Harttia,misc_feature,"37,213,830","37,213,891",62,reverse
SLMs_Harttia,misc_feature,"36,956,329","36,956,399",71,forward
SLMs_Harttia,misc_feature,"36,956,271","36,956,332",62,reverse
SLMs_Harttia,misc_feature,"36,950,207","36,950,268",62,forward
SLMs_Harttia,misc_feature,"36,950,142","36,950,210",69,reverse
SLMs_Harttia,misc_feature,"36,555,293","36,555,361",69,forward
SLMs_Harttia,misc_feature,"36,555,235","36,555,296",62,reverse
SLMs_Harttia,misc_feature,"36,544,768","36,544,836",69,forward
SLMs_Harttia,misc_feature,"36,441,227","36,441,295",69,forward
SLMs_Harttia,misc_feature,"36,441,169","36,441,230",62,reverse
SLMs_Harttia,misc_feature,"36,197,176","36,197,237",62,forward
SLMs_Harttia,misc_feature,"36,197,111","36,197,179",69,reverse
SLMs_Harttia,misc_feature,"36,175,031","36,175,092",62,forward
SLMs_Harttia,misc_feature,"36,174,966","36,175,034",69,reverse
SLMs_Harttia,misc_feature,"36,114,937","36,115,005",69,forward
SLMs_Harttia,misc_feature,"36,114,879","36,114,940",62,reverse
SLMs_Harttia,misc_feature,"36,112,862","36,112,930",69,forward
SLMs_Harttia,misc_feature,"36,095,183","36,095,244",62,forward
SLMs_Harttia,misc_feature,"36,095,118","36,095,186",69,reverse
SLMs_Harttia,misc_feature,"36,084,937","36,085,005",69,forward
SLMs_Harttia,misc_feature,"36,084,879","36,084,940",62,reverse
SLMs_Harttia,misc_feature,"36,061,593","36,061,654",62,forward
SLMs_Harttia,misc_feature,"36,061,528","36,061,596",69,reverse
SLMs_Harttia,misc_feature,"36,035,394","36,035,462",69,reverse
SLMs_Harttia,misc_feature,"36,029,095","36,029,163",69,forward
SLMs_Harttia,misc_feature,"36,029,037","36,029,098",62,reverse
SLMs_Harttia,misc_feature,"35,847,243","35,847,304",62,reverse
SLMs_Harttia,misc_feature,"35,828,386","35,828,454",69,forward
SLMs_Harttia,misc_feature,"35,828,328","35,828,389",62,reverse
